,genome name,species
1613,ESC_GA6890AA_AS.fasta,Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775
1614,ESC_HA8738AA_AS.fasta,Escherichia coli
1615,ESC_HA4020AA_AS.fasta,Escherichia coli
1616,ESC_GA9101AA_AS.fasta,Escherichia coli
1617,ESC_HA8688AA_AS.fasta,Escherichia coli
1618,ESC_IA1667AA_AS.fasta,Escherichia coli
1619,ESC_CA6071AA_AS.fasta,Escherichia coli O111:NM str. 2010C-4799
1620,ESC_HA8616AA_AS.fasta,Escherichia coli
1621,ESC_GA9364AA_AS.fasta,Escherichia coli 5905
1622,ESC_GA1523AA_AS.fasta,Escherichia coli O111:H8 str. F6627
1623,ESC_HA5460AA_AS.fasta,Escherichia coli
1624,ESC_BA3791AA_AS.fasta,Escherichia coli
1625,ESC_OA0010AA_AS.fasta,Escherichia coli NE1487
1626,ESC_GA9261AA_AS.fasta,Escherichia coli UMEA 3215-1
1627,ESC_AA8518AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1628,ESC_LA1497AA_AS.fasta,Escherichia coli 2875150
1629,ESC_IA0066AA_AS.fasta,Escherichia coli
1630,ESC_GA9237AA_AS.fasta,Escherichia coli
1631,ESC_GA9381AA_AS.fasta,Escherichia coli
1632,ESC_GA8994AA_AS.fasta,Escherichia coli C260_92
1633,ESC_HA9094AA_AS.fasta,Escherichia coli KTE189
1634,ESC_BA1963AA_AS.fasta,Escherichia coli B95
1635,ESC_GA9724AA_AS.fasta,Escherichia coli
1636,ESC_HA8684AA_AS.fasta,Escherichia coli O103:H11 str. 04-3023
1637,ESC_HA8787AA_AS.fasta,Escherichia coli
1638,ESC_LA1547AA_AS.fasta,Escherichia coli
1639,ESC_HA7410AA_AS.fasta,Escherichia coli O10:K5(L):H4 str. ATCC 23506
1640,ESC_HA8313AA_AS.fasta,Escherichia coli
1641,ESC_GA8932AA_AS.fasta,Escherichia coli
1642,ESC_BA4140AA_AS.fasta,Escherichia coli
1643,ESC_GA6824AA_AS.fasta,Escherichia coli C458_10
1644,ESC_OA0012AA_AS.fasta,Escherichia coli
1645,ESC_LA5463AA_AS.fasta,Escherichia coli O157:H7
1646,ESC_FA6871AA_AS.fasta,Escherichia coli 5-172-05_S4_C2
1647,ESC_GA0439AA_AS.fasta,Escherichia coli BIDMC 59
1648,ESC_FA4839AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
1649,ESC_KA7787AA_AS.fasta,Escherichia coli
1650,ESC_HA7536AA_AS.fasta,Escherichia coli NE1487
1651,ESC_HA8422AA_AS.fasta,Escherichia coli
1652,ESC_GA8849AA_AS.fasta,Escherichia coli
1653,ESC_IA2253AA_AS.fasta,Escherichia coli KTE207
1654,ESC_NA9529AA_AS.fasta,Escherichia coli PA5
1655,ESC_CA3350AA_AS.fasta,Escherichia coli
1656,ESC_CA4715AA_AS.fasta,Escherichia coli
1657,ESC_LA1373AA_AS.fasta,Escherichia coli
1658,ESC_HA0309AA_AS.fasta,Escherichia coli
1659,ESC_GA3666AA_AS.fasta,Escherichia coli O157:H7 str. EC1212
1660,ESC_HA5983AA_AS.fasta,Escherichia coli C353_09
1661,ESC_LA5911AA_AS.fasta,Escherichia coli IAI1
1662,ESC_HA8237AA_AS.fasta,Escherichia coli MS 21-1
1663,ESC_KA6001AA_AS.fasta,Escherichia coli
1664,ESC_GA8816AA_AS.fasta,Escherichia coli HVH 27 (4-7449267)
1665,ESC_HA7813AA_AS.fasta,Escherichia coli C751_03
1666,ESC_HA7483AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
1667,ESC_HA7456AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
1668,ESC_HA8186AA_AS.fasta,Escherichia coli
1669,ESC_MA3444AA_AS.fasta,Escherichia coli
1670,ESC_IA2227AA_AS.fasta,Escherichia coli
1671,ESC_BA0229AA_AS.fasta,Escherichia coli O111:NM str. 2010C-4735
1672,ESC_HA9972AA_AS.fasta,Escherichia coli
1673,ESC_KA5680AA_AS.fasta,Escherichia coli B95
1674,ESC_CA6550AA_AS.fasta,Escherichia coli
1675,ESC_GA6707AA_AS.fasta,Escherichia coli
1676,ESC_GA2925AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
1677,ESC_HA4879AA_AS.fasta,Escherichia coli O157:H7
1678,ESC_HA8239AA_AS.fasta,Escherichia coli
1679,ESC_HA8805AA_AS.fasta,Escherichia coli
1680,ESC_FA8165AA_AS.fasta,Escherichia coli ATCC BAA-2215
1681,ESC_KA6011AA_AS.fasta,Escherichia coli O26:H11 str. CVM10021
1682,ESC_PA1913AA_AS.fasta,Escherichia coli
1683,ESC_IA8209AA_AS.fasta,Escherichia coli O157:H7
1684,ESC_HA3278AA_AS.fasta,Escherichia coli
1685,ESC_FA6896AA_AS.fasta,Escherichia coli
1686,ESC_BA1218AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1687,ESC_GA9411AA_AS.fasta,Escherichia coli 2-005-03_S4_C3
1688,ESC_GA5391AA_AS.fasta,Escherichia coli ATCC BAA-2219
1689,ESC_BA3631AA_AS.fasta,Escherichia coli C354_03B
1690,ESC_GA4689AA_AS.fasta,Escherichia coli
1691,ESC_GA8965AA_AS.fasta,Escherichia coli HVH 194 (4-2356805)
1692,ESC_GA8878AA_AS.fasta,Escherichia coli KTE207
1693,ESC_IA8203AA_AS.fasta,Escherichia coli NE1487
1694,ESC_FA9659AA_AS.fasta,Escherichia coli 2534-86
1695,ESC_IA8169AA_AS.fasta,Escherichia coli FRIK2001
1696,ESC_BA5022AA_AS.fasta,Escherichia coli
1697,ESC_LA5470AA_AS.fasta,Escherichia coli O157:H7 str. F8092B
1698,ESC_GA8494AA_AS.fasta,Escherichia coli
1699,ESC_FA6900AA_AS.fasta,Escherichia coli
1700,ESC_IA0095AA_AS.fasta,Escherichia coli
1701,ESC_GA9188AA_AS.fasta,Escherichia coli
1702,ESC_AA8641AA_AS.fasta,Escherichia coli
1703,ESC_CA6887AA_AS.fasta,Escherichia coli
1704,ESC_HA8455AA_AS.fasta,Escherichia coli
1705,ESC_HA6283AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1706,ESC_AA7970AA_AS.fasta,Escherichia coli
1707,ESC_HA8523AA_AS.fasta,Escherichia coli
1708,ESC_CA1107AA_AS.fasta,Escherichia coli ATCC BAA-2196
1709,ESC_NA3264AA_AS.fasta,Escherichia coli O26:H11 str. 2010C-3871
1710,ESC_HA8496AA_AS.fasta,Escherichia coli
1711,ESC_FA8436AA_AS.fasta,Escherichia coli
1712,ESC_NA8400AA_AS.fasta,Escherichia coli
1713,ESC_GA3676AA_AS.fasta,Escherichia coli
1714,ESC_HA8332AA_AS.fasta,Escherichia coli
1715,ESC_OA0118AA_AS.fasta,Escherichia coli O157:H7 str. TW14359
1716,ESC_HA8816AA_AS.fasta,Escherichia coli
1717,ESC_HA8593AA_AS.fasta,Escherichia coli
1718,ESC_HA8036AA_AS.fasta,Escherichia coli
1719,ESC_GA3670AA_AS.fasta,Escherichia coli
1720,ESC_NA8429AA_AS.fasta,Escherichia coli
1721,ESC_HA8207AA_AS.fasta,Escherichia coli UMEA 3671-1
1722,ESC_IA6444AA_AS.fasta,Escherichia coli
1723,ESC_EA6690AA_AS.fasta,Escherichia coli
1724,ESC_IA1460AA_AS.fasta,Escherichia coli
1725,ESC_BA5076AA_AS.fasta,Escherichia coli
1726,ESC_HA7819AA_AS.fasta,Escherichia coli 2-177-06_S4_C1
1727,ESC_HA8983AA_AS.fasta,Escherichia coli 99.0814
1728,ESC_GA3044AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1729,ESC_BA2157AA_AS.fasta,Escherichia coli
1730,ESC_HA0355AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
1731,ESC_KA1724AA_AS.fasta,Escherichia coli B95
1732,ESC_HA1780AA_AS.fasta,Escherichia coli
1733,ESC_GA0443AA_AS.fasta,Escherichia coli O111:NM str. 2010C-4622
1734,ESC_GA9455AA_AS.fasta,Escherichia coli
1735,ESC_HA8268AA_AS.fasta,Escherichia coli
1736,ESC_IA8220AA_AS.fasta,Escherichia coli
1737,ESC_GA9147AA_AS.fasta,Escherichia coli
1738,ESC_BA3803AA_AS.fasta,Escherichia coli
1739,ESC_BA0670AA_AS.fasta,Escherichia coli
1740,ESC_IA2281AA_AS.fasta,Escherichia coli
1741,ESC_GA8897AA_AS.fasta,Escherichia coli O26:H11 str. 2010C-4430
1742,ESC_IA2257AA_AS.fasta,Escherichia coli MS 110-3
1743,ESC_HA6285AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1744,ESC_IA0036AA_AS.fasta,Escherichia coli
1745,ESC_HA0136AA_AS.fasta,Escherichia coli C260_92
1746,ESC_GA4784AA_AS.fasta,Escherichia coli O157:H7 str. EDL933
1747,ESC_GA2909AA_AS.fasta,Escherichia coli FDA504
1748,ESC_GA9272AA_AS.fasta,Escherichia coli
1749,ESC_KA5360AA_AS.fasta,Escherichia coli B95
1750,ESC_EA6195AA_AS.fasta,Escherichia coli O121:H19 str. K5198
1751,ESC_HA0450AA_AS.fasta,Escherichia sp. KTE159
1752,ESC_AA7929AA_AS.fasta,Escherichia coli
1753,ESC_LA5913AA_AS.fasta,Escherichia coli HVH 56 (4-2153033)
1754,ESC_LA5457AA_AS.fasta,Escherichia coli
1755,ESC_HA0304AA_AS.fasta,Escherichia coli
1756,ESC_HA7423AA_AS.fasta,Escherichia coli C213_10
1757,ESC_CA1444AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2112
1758,ESC_HA1783AA_AS.fasta,Escherichia coli
1759,ESC_HA1755AA_AS.fasta,Escherichia coli O5:K4(L):H4 str. ATCC 23502
1760,ESC_GA8862AA_AS.fasta,Escherichia coli DEC15E
1761,ESC_HA3271AA_AS.fasta,Escherichia coli
1762,ESC_KA5988AA_AS.fasta,Escherichia coli
1763,ESC_CA1490AA_AS.fasta,Escherichia coli
1764,ESC_HA8402AA_AS.fasta,Escherichia coli
1765,ESC_HA2697AA_AS.fasta,Escherichia coli
1766,ESC_AA7966AA_AS.fasta,Escherichia coli
1767,ESC_HA5969AA_AS.fasta,Escherichia coli
1768,ESC_KA2246AA_AS.fasta,Escherichia coli
1769,ESC_KA6013AA_AS.fasta,Escherichia coli
1770,ESC_CA1348AA_AS.fasta,Escherichia coli TW10119
1771,ESC_HA4892AA_AS.fasta,Escherichia coli O157:H7
1772,ESC_HA9066AA_AS.fasta,Escherichia coli 3-105-05_S4_C1
1773,ESC_GA8903AA_AS.fasta,Escherichia coli
1774,ESC_GA9400AA_AS.fasta,Escherichia coli
1775,ESC_GA9082AA_AS.fasta,Escherichia coli
1776,ESC_GA3713AA_AS.fasta,Escherichia coli 99.0741
1777,ESC_FA6895AA_AS.fasta,Escherichia coli
1778,ESC_IA8070AA_AS.fasta,Escherichia coli 3.4870
1779,ESC_LA5903AA_AS.fasta,Escherichia coli O157:H7 str. F7384
1780,ESC_BA1526AA_AS.fasta,Escherichia coli
1781,ESC_IA8109AA_AS.fasta,Escherichia coli B95
1782,ESC_HA8703AA_AS.fasta,Escherichia sp. TW09308
1783,ESC_HA7284AA_AS.fasta,Escherichia coli HVH 6 (3-8296502)
1784,ESC_BA9542AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1785,ESC_HA8032AA_AS.fasta,Escherichia coli 6-537-08_S1_C1
1786,ESC_HA0236AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2113
1787,ESC_GA8798AA_AS.fasta,Escherichia coli
1788,ESC_GA6664AA_AS.fasta,Escherichia coli UMEA 3176-1
1789,ESC_IA8076AA_AS.fasta,Escherichia coli
1790,ESC_HA8583AA_AS.fasta,Escherichia coli HVH 150 (4-3258106)
1791,ESC_HA7408AA_AS.fasta,Achromobacter sp. ATCC35328
1792,ESC_HA8146AA_AS.fasta,Escherichia coli KTE222
1793,ESC_GA3635AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1794,ESC_BA0383AA_AS.fasta,Escherichia coli TW14301
1795,ESC_HA4917AA_AS.fasta,Escherichia coli O157:H7
1796,ESC_BA2763AA_AS.fasta,Escherichia coli O26:H11 str. CVM9952
1797,ESC_IA8216AA_AS.fasta,"[174 seqs] NZ_CM007788.1 Escherichia coli O157:H7 strain LEN02-9121-1 plasmid p_IncFIA, whole genome shotgun sequence [...]"
1798,ESC_GA9406AA_AS.fasta,Escherichia coli
1799,ESC_GA4700AA_AS.fasta,Escherichia coli O157:H7
1800,ESC_HA8584AA_AS.fasta,Escherichia coli EC096/10
1801,ESC_GA6498AA_AS.fasta,Escherichia coli
1802,ESC_LA5899AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1803,ESC_GA9370AA_AS.fasta,Escherichia coli UMEA 3201-1
1804,ESC_GA9447AA_AS.fasta,Escherichia coli VR50
1805,ESC_HA0334AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
1806,ESC_HA1808AA_AS.fasta,Escherichia coli 2-210-07_S4_C3
1807,ESC_HA8755AA_AS.fasta,Escherichia coli
1808,ESC_IA6452AA_AS.fasta,Escherichia coli DEC9E
1809,ESC_IA0136AA_AS.fasta,Escherichia coli
1810,ESC_GA1524AA_AS.fasta,Escherichia coli ATCC BAA-2193
1811,ESC_KA9612AA_AS.fasta,Escherichia coli
1812,ESC_HA4971AA_AS.fasta,Escherichia coli O157:H7
1813,ESC_GA8796AA_AS.fasta,Escherichia coli
1814,ESC_KA9622AA_AS.fasta,Escherichia coli
1815,ESC_IA1457AA_AS.fasta,Escherichia coli
1816,ESC_BA4742AA_AS.fasta,"[66 seqs] NZ_AIGM01000066.1 Escherichia coli DEC9C gecDEC9C.contig.65_1, whole genome shotgun sequence [...]"
1817,ESC_HA6464AA_AS.fasta,Escherichia coli IAI1
1818,ESC_IA0229AA_AS.fasta,Escherichia coli
1819,ESC_HA6840AA_AS.fasta,Escherichia coli
1820,ESC_HA8710AA_AS.fasta,Escherichia coli
1821,ESC_GA3710AA_AS.fasta,"[205 seqs] NZ_LDXI01000001.1 Escherichia coli strain 36084 36084_contig000001, whole genome shotgun sequence [...]"
1822,ESC_HA9119AA_AS.fasta,Escherichia coli O157:H7
1823,ESC_KA5987AA_AS.fasta,Escherichia coli
1824,ESC_KA0439AA_AS.fasta,Escherichia coli O157:H7 str. TW14359
1825,ESC_HA8104AA_AS.fasta,Escherichia coli
1826,ESC_IA2258AA_AS.fasta,Escherichia coli
1827,ESC_CA1714AA_AS.fasta,Escherichia coli TW10119
1828,ESC_HA8023AA_AS.fasta,Escherichia coli 2-316-03_S3_C2
1829,ESC_BA3998AA_AS.fasta,Escherichia coli C354_03B
1830,ESC_OA6342AA_AS.fasta,Escherichia coli
1831,ESC_IA2230AA_AS.fasta,Escherichia coli
1832,ESC_HA8707AA_AS.fasta,Escherichia coli
1833,ESC_HA8423AA_AS.fasta,Escherichia coli
1834,ESC_IA7148AA_AS.fasta,Escherichia coli
1835,ESC_GA6488AA_AS.fasta,Escherichia coli
1836,ESC_BA2573AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1837,ESC_GA5557AA_AS.fasta,Escherichia coli
1838,ESC_LA1495AA_AS.fasta,Escherichia coli
1839,ESC_OA5499AA_AS.fasta,Escherichia coli O157:H7 str. TW14359
1840,ESC_AA8832AA_AS.fasta,Escherichia coli O157
1841,ESC_GA9168AA_AS.fasta,Escherichia coli
1842,ESC_HA8009AA_AS.fasta,Escherichia coli C260_92
1843,ESC_CA1135AA_AS.fasta,Escherichia coli
1844,ESC_HA8624AA_AS.fasta,Escherichia coli
1845,ESC_HA9081AA_AS.fasta,Escherichia coli
1846,ESC_MA3451AA_AS.fasta,Escherichia coli O157:H7 str. F6750
1847,ESC_HA8246AA_AS.fasta,Escherichia coli
1848,ESC_GA6963AA_AS.fasta,Escherichia coli
1849,ESC_HA2704AA_AS.fasta,Escherichia coli
1850,ESC_HA8749AA_AS.fasta,Escherichia coli HVH 195 (3-7155360)
1851,ESC_HA8349AA_AS.fasta,Escherichia coli
1852,ESC_HA5977AA_AS.fasta,Escherichia coli
1853,ESC_GA0460AA_AS.fasta,Escherichia coli
1854,ESC_GA9005AA_AS.fasta,Escherichia coli
1855,ESC_BA4194AA_AS.fasta,Escherichia coli O157
1856,ESC_GA8919AA_AS.fasta,Escherichia coli
1857,ESC_AA8457AA_AS.fasta,Escherichia coli
1858,ESC_HA8250AA_AS.fasta,Escherichia coli
1859,ESC_AA9052AA_AS.fasta,Escherichia coli
1860,ESC_GA2928AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2113
1861,ESC_NA8737AA_AS.fasta,Escherichia coli
1862,ESC_CA4258AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1863,ESC_LA5519AA_AS.fasta,Escherichia coli PA9
1864,ESC_BA0516AA_AS.fasta,Escherichia coli
1865,ESC_HA8116AA_AS.fasta,Escherichia coli
1866,ESC_KA6019AA_AS.fasta,Escherichia coli
1867,ESC_HA2661AA_AS.fasta,Escherichia coli
1868,ESC_HA8479AA_AS.fasta,Escherichia coli 2-210-07_S4_C1
1869,ESC_BA6562AA_AS.fasta,Escherichia coli TW10119
1870,ESC_HA9124AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1871,ESC_HA8470AA_AS.fasta,Escherichia coli
1872,ESC_KA6808AA_AS.fasta,Escherichia coli B95
1873,ESC_HA7517AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1874,ESC_CA2546AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1875,ESC_GA8791AA_AS.fasta,Escherichia coli STEC_B2F1
1876,ESC_GA8911AA_AS.fasta,Escherichia coli
1877,ESC_IA2234AA_AS.fasta,Escherichia coli KTE220
1878,ESC_HA5968AA_AS.fasta,Escherichia coli EC4100B
1879,ESC_CA7308AA_AS.fasta,Escherichia coli
1880,ESC_KA9623AA_AS.fasta,Escherichia coli
1881,ESC_FA6029AA_AS.fasta,Escherichia coli
1882,ESC_HA7941AA_AS.fasta,Escherichia coli
1883,ESC_AA9661AA_AS.fasta,Escherichia coli
1884,ESC_HA7770AA_AS.fasta,Shigella boydii
1885,ESC_GA9012AA_AS.fasta,Escherichia coli
1886,ESC_CA1928AA_AS.fasta,Escherichia coli
1887,ESC_FA8445AA_AS.fasta,Escherichia coli O26:H11 str. 2010C-3472
1888,ESC_GA9417AA_AS.fasta,Escherichia coli
1889,ESC_HA7419AA_AS.fasta,Escherichia coli O103:H11 str. 04-3023
1890,ESC_CA2375AA_AS.fasta,Escherichia coli
1891,ESC_FA4846AA_AS.fasta,Escherichia coli O111:H8 str. CVM9570
1892,ESC_MA8270AA_AS.fasta,Escherichia coli O157:H7
1893,ESC_MA8360AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1894,ESC_HA7420AA_AS.fasta,Escherichia coli ATCC 8739
1895,ESC_HA7995AA_AS.fasta,Escherichia coli
1896,ESC_KA5985AA_AS.fasta,Escherichia coli
1897,ESC_BA0639AA_AS.fasta,Escherichia coli
1898,ESC_CA2879AA_AS.fasta,Escherichia coli O157:H7 str. F6142
1899,ESC_CA6437AA_AS.fasta,Escherichia coli ATCC BAA-2215
1900,ESC_KA7440AA_AS.fasta,Escherichia coli M919
1901,ESC_HA4824AA_AS.fasta,Escherichia coli O157:H7
1902,ESC_FA7718AA_AS.fasta,Escherichia coli O26:H11 str. 2010C-4430
1903,ESC_IA7201AA_AS.fasta,Escherichia coli
1904,ESC_GA8969AA_AS.fasta,Escherichia coli C213_10
1905,ESC_HA8651AA_AS.fasta,Escherichia coli
1906,ESC_BA5746AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1907,ESC_LA5849AA_AS.fasta,Escherichia coli
1908,ESC_CA6063AA_AS.fasta,Escherichia coli C354_03B
1909,ESC_HA8631AA_AS.fasta,Escherichia coli 53A
1910,ESC_HA7778AA_AS.fasta,Escherichia coli KTE135
1911,ESC_FA7717AA_AS.fasta,Escherichia coli
1912,ESC_GA9144AA_AS.fasta,Escherichia coli
1913,ESC_BA2502AA_AS.fasta,Escherichia coli
1914,ESC_PA1952AA_AS.fasta,Escherichia coli 907672
1915,ESC_HA8442AA_AS.fasta,Escherichia coli
1916,ESC_IA2225AA_AS.fasta,Escherichia coli
1917,ESC_HA2531AA_AS.fasta,Escherichia coli
1918,ESC_LA1539AA_AS.fasta,Escherichia coli 2-316-03_S3_C2
1919,ESC_GA5530AA_AS.fasta,Escherichia coli O111:NM str. 2009C-4052
1920,ESC_HA0126AA_AS.fasta,Escherichia coli C213_10
1921,ESC_FA6063AA_AS.fasta,Escherichia coli
1922,ESC_GA2878AA_AS.fasta,Escherichia coli ATCC BAA-2196
1923,ESC_HA8476AA_AS.fasta,Escherichia coli 93.0624
1924,ESC_FA8270AA_AS.fasta,Escherichia coli 2-005-03_S4_C3
1925,ESC_GA9420AA_AS.fasta,Escherichia coli
1926,ESC_LA1401AA_AS.fasta,Escherichia coli
1927,ESC_FA8252AA_AS.fasta,Escherichia coli
1928,ESC_HA7932AA_AS.fasta,Escherichia coli
1929,ESC_KA7436AA_AS.fasta,Escherichia coli M919
1930,ESC_GA9006AA_AS.fasta,Escherichia coli KTE89
1931,ESC_NA9541AA_AS.fasta,Escherichia coli PA25
1932,ESC_BA6763AA_AS.fasta,Escherichia coli
1933,ESC_HA7909AA_AS.fasta,Escherichia coli
1934,ESC_HA7450AA_AS.fasta,Escherichia coli O157:H7 str. F6751
1935,ESC_HA7908AA_AS.fasta,Escherichia coli
1936,ESC_HA1745AA_AS.fasta,Escherichia coli KTE222
1937,ESC_JA4174AA_AS.fasta,Escherichia coli O103:H2 str. 2009C-3279
1938,ESC_HA8160AA_AS.fasta,Escherichia coli
1939,ESC_HA5979AA_AS.fasta,Escherichia coli A35218R
1940,ESC_LA2132AA_AS.fasta,Escherichia coli O157:H7 str. F7377
1941,ESC_IA1158AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1942,ESC_IA2275AA_AS.fasta,Escherichia coli
1943,ESC_LA1464AA_AS.fasta,Escherichia coli
1944,ESC_HA8338AA_AS.fasta,Escherichia coli
1945,ESC_CA2668AA_AS.fasta,Escherichia coli
1946,ESC_HA8266AA_AS.fasta,Escherichia coli
1947,ESC_GA9410AA_AS.fasta,Escherichia coli KTE190
1948,ESC_HA7416AA_AS.fasta,Escherichia coli
1949,ESC_LA1926AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
1950,ESC_OA6268AA_AS.fasta,Escherichia coli FRIK2001
1951,ESC_LA5877AA_AS.fasta,Escherichia coli
1952,ESC_GA3749AA_AS.fasta,Escherichia coli TW14301
1953,ESC_KA7782AA_AS.fasta,Escherichia coli
1954,ESC_HA8711AA_AS.fasta,Escherichia coli 2-011-08_S4_C1
1955,ESC_IA1131AA_AS.fasta,Escherichia coli
1956,ESC_HA3972AA_AS.fasta,Escherichia coli
1957,ESC_BA0059AA_AS.fasta,Escherichia coli
1958,ESC_FA6255AA_AS.fasta,Escherichia coli
1959,ESC_HA7968AA_AS.fasta,Escherichia coli
1960,ESC_GA1481AA_AS.fasta,Escherichia coli
1961,ESC_HA0337AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
1962,ESC_CA4721AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1963,ESC_IA2248AA_AS.fasta,Escherichia coli A25922R
1964,ESC_GA6639AA_AS.fasta,Escherichia coli D9
1965,ESC_CA5884AA_AS.fasta,Escherichia coli O157
1966,ESC_BA0414AA_AS.fasta,Escherichia coli TW10246
1967,ESC_BA1720AA_AS.fasta,Escherichia coli O157:H7
1968,ESC_HA7525AA_AS.fasta,Escherichia coli
1969,ESC_FA6847AA_AS.fasta,Escherichia coli
1970,ESC_HA7475AA_AS.fasta,Escherichia coli 90.0091
1971,ESC_MA3455AA_AS.fasta,Escherichia coli
1972,ESC_HA1794AA_AS.fasta,Escherichia coli
1973,ESC_BA2023AA_AS.fasta,Escherichia coli O157:H7
1974,ESC_LA1617AA_AS.fasta,Escherichia coli 5.2239
1975,ESC_HA8992AA_AS.fasta,Escherichia coli
1976,ESC_GA9702AA_AS.fasta,Escherichia coli EC1846
1977,ESC_GA3641AA_AS.fasta,Escherichia coli
1978,ESC_HA7511AA_AS.fasta,Escherichia coli 90.0091
1979,ESC_HA1532AA_AS.fasta,Escherichia coli
1980,ESC_FA8444AA_AS.fasta,Escherichia coli O26:H11 str. CVM10021
1981,ESC_GA9374AA_AS.fasta,Escherichia coli KTE228
1982,ESC_HA8984AA_AS.fasta,Escherichia coli AI27
1983,ESC_HA0808AA_AS.fasta,Escherichia coli E1140
1984,ESC_HA7436AA_AS.fasta,Escherichia coli HVH 187 (4-4471660)
1985,ESC_HA8093AA_AS.fasta,Escherichia coli
1986,ESC_HA1760AA_AS.fasta,Escherichia coli
1987,ESC_HA6236AA_AS.fasta,Escherichia coli PA33
1988,ESC_HA8598AA_AS.fasta,Escherichia coli
1989,ESC_BA1923AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1990,ESC_KA7432AA_AS.fasta,Escherichia coli M919
1991,ESC_LA1494AA_AS.fasta,Escherichia coli
1992,ESC_HA8428AA_AS.fasta,Escherichia coli
1993,ESC_BA0799AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
1994,ESC_IA6956AA_AS.fasta,Escherichia coli 97.0246
1995,ESC_GA6663AA_AS.fasta,Escherichia coli H489
1996,ESC_GA9368AA_AS.fasta,Escherichia coli
1997,ESC_GA9076AA_AS.fasta,Escherichia coli
1998,ESC_NA9539AA_AS.fasta,Escherichia coli NE1487
1999,ESC_HA3275AA_AS.fasta,Escherichia coli
2000,ESC_GA9697AA_AS.fasta,Escherichia coli PA9
2001,ESC_GA9234AA_AS.fasta,Escherichia coli
2002,ESC_HA7286AA_AS.fasta,Escherichia coli
2003,ESC_GA9117AA_AS.fasta,Escherichia coli
2004,ESC_HA4013AA_AS.fasta,Escherichia coli O26:H11 str. CVM10030
2005,ESC_HA7946AA_AS.fasta,Escherichia coli UMEA 3609-1
2006,ESC_GA6882AA_AS.fasta,Escherichia coli TX1999
2007,ESC_GA3747AA_AS.fasta,Escherichia coli FRIK2001
2008,ESC_HA7171AA_AS.fasta,Escherichia coli ECC-1470
2009,ESC_LA1384AA_AS.fasta,Escherichia coli
2010,ESC_HA7905AA_AS.fasta,Escherichia coli
2011,ESC_IA1895AA_AS.fasta,Escherichia coli
2012,ESC_BA1659AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2093
2013,ESC_IA1152AA_AS.fasta,Escherichia coli
2014,ESC_HA1763AA_AS.fasta,Escherichia coli 6-537-08_S4_C2
2015,ESC_HA2525AA_AS.fasta,Escherichia coli O7:K1 str. CE10
2016,ESC_HA4847AA_AS.fasta,Escherichia coli O157:H7
2017,ESC_AA9891AA_AS.fasta,Escherichia coli
2018,ESC_GA9307AA_AS.fasta,Escherichia coli KTE61
2019,ESC_FA6867AA_AS.fasta,Escherichia coli
2020,ESC_HA7929AA_AS.fasta,Escherichia coli
2021,ESC_GA9266AA_AS.fasta,Escherichia coli
2022,ESC_HA8693AA_AS.fasta,Escherichia coli
2023,ESC_HA8284AA_AS.fasta,Escherichia coli UMEA 3193-1
2024,ESC_GA3115AA_AS.fasta,Escherichia coli O157:H7 str. F8092B
2025,ESC_HA9080AA_AS.fasta,Escherichia coli
2026,ESC_IA8117AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
2027,ESC_BA9344AA_AS.fasta,Escherichia coli PA25
2028,ESC_HA7980AA_AS.fasta,Escherichia coli
2029,ESC_HA7811AA_AS.fasta,Escherichia coli
2030,ESC_HA2684AA_AS.fasta,Escherichia coli
2031,ESC_LA1615AA_AS.fasta,Escherichia coli 5.2239
